64,214000, 33000
128,336000, 62000
256,719000, 110000
512,1656000, 247000
1024,4224000, 549000
2048,10647000, 121000
4096,14267000, 164000
8192,29433000, 371000
16384,111712000, 190000
32768,462800000, 333000
65536,1800489000, 617000
131072,7535498000, 1312000
